1/4P 9:00am-10.30pm Mon-Fri 9:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 22.5},{day_s:6, day_e:6,hour_s:9, hour_e:12}]
1/4P 9:00am-10.30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 22.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1/4P 9:00am-10:30pm Mon-Fri 9:00am-4:00pm Sat||[{day_s:1, day_e: 5, hour_s: 9, hour_e: 22.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1/4P 9:00am-5.30pm Mon-Fri 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
1/4P 9:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17}]
1/4P 9:00am-5:30pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5}]
1/4P 9:00am-5:30pm Mon-Fri 9:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:12}]
1/4P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1/4P 9am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17.5}]
1/4P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
10 Minutes P 8am-4pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 16}]
10-Min P, 8:15-8:45am 2:45-3:15pm School Days|[{day_s:1, day_e: 5,hour_s: 8.25, hour_e: 8.75}, {day_s:1, day_e: 5,hour_s: 14.75, hour_e: 15.25}]
10am-2pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 10, hour_e: 14}]
15 Minute Parking 8am-5:30 pm|[{hour_s: 8, hour_e: 17.5}]
15-Minute Parking 8am-5:30pm|[{hour_s: 8, hour_e: 17.5}]
