X,Y,objectid,time,local_id,type,comments,eqnum
147.140457914669042,-41.441898254843181,197,3,CH26,dig,Multibay Meter (5),365971
147.138685123211388,-41.441997705044166,198,3,FR09,dig,Multibay Meter (4),370988
147.137795213235449,-41.435848367268179,199,1,SJ09,dig,Multibay Meter (3),357936
147.139001641356714,-41.441863344868729,200,3,FR07,dig,Multibay Meter (3),370987
147.139795173128107,-41.441526338970775,201,3,FR05,dig,Multibay Meter (4),370986
147.142785780799784,-41.434682505310882,202,3,TA01,dig,Multibay Meter (2),375928
147.137766908750194,-41.433019632875066,203,3,GEOR002,mec,,280492
147.139713447280911,-41.43335927538493,204,3,CI09,dig,Multibay Meter (3),370747
147.136074926026396,-41.439518468922053,205,1,WE02,dig,Multibay Meter (5),365984
147.134777095671978,-41.439667306061899,206,3,BR19,dig,Multibay Meter (3),365966
147.136110567422634,-41.437481694119683,207,1,PT09,dig,Multibay Meter (3),344871
147.136235926435631,-41.437017296631879,208,1,CHAR036,mec,Hooded,280206
147.133491975043455,-41.438789586783379,209,3,PT12,dig,Multibay Meter (7),365904
147.135218676410375,-41.438431727118271,210,3,WE03,dig,Multibay Meter (2),375246
147.134325231296742,-41.438483900588238,211,3,PT11,dig,Multibay Meter (9),365878
147.136286230741177,-41.43706652636552,212,1,CHAR038,mec,Hooded,280207
147.136331918113711,-41.438690362115942,213,1,BR10,dig,Multibay Meter (2),375249
147.135494188719008,-41.436560021547734,214,1,CA20,dig,Multibay Meter (3),344872
147.133506146869507,-41.438935222377623,215,3,PT13,dig,Multibay Meter (8),365903
147.135565036309117,-41.437658201625169,216,1,PT10,dig,Multibay Meter (6),344864
147.136148931349652,-41.436932044071291,217,1,CHAR032,mec,,280203
147.137208596397926,-41.438326576949628,218,1,BR11,dig,Multibay Meter (5),344870
147.135929870500178,-41.438921854408861,219,1,BRIS052,mec,,280012
147.135441636070539,-41.436234883813121,220,1,CH04,dig,Multibay Meter (4),344875
147.135978361145845,-41.436765326885343,221,1,CH06,dig,Multibay Meter (5),365972
147.135195472159211,-41.436698251542886,222,1,CA22,dig,Multibay Meter (4),344862
147.134809219119205,-41.436876811085142,223,1,CAME090,mec,,280118
147.136188932675225,-41.436971323690088,224,1,CHAR034,mec,,280205
147.136753594675383,-41.438590454357261,225,1,BR13,dig,Multibay Meter (3),344883
147.135434367360233,-41.436014567661289,226,1,CH05,dig,Multibay Meter (3),344863
147.142484695881762,-41.436873866450199,227,3,YK05,dig,Multibay Meter (4),370791
147.143043967920846,-41.436365281716427,228,3,YK03,dig,Multibay Meter (4),370971
147.142265604648202,-41.434852689887812,229,1,BR01,dig,Multibay Meter (6),344888
147.141418682356687,-41.435661666473507,230,1,BR05,dig,Multibay Meter (6),344892
147.141259959342676,-41.437165654047405,231,1,GE13,dig,Multibay Meter (7),344110
147.131494383560948,-41.438342023342692,232,,Mach09,dig,"30c/hr; 3hrs max",
147.139631983491171,-41.428535883653346,233,,MachI4,tm,$1/hr or $3/day,
147.139823917376674,-41.428792833365449,234,,MachI3,tm,$1/hr or $3/day,
147.140023149755024,-41.429146233595482,235,,MachI5,tm,$1/hr or $3/day,
147.138900683672404,-41.428866433286451,236,,MachI2,tm,$1/hr or $3/day,
147.131395542846377,-41.434986670469641,237,,Mach14,tm,$1.40/hr or $4/day ,
147.142445200375533,-41.431464033479443,238,,Mach12,tm,$1/hr or $4 All day,
147.140672300439803,-41.433750450188597,239,,Mach01,tm,$1.80/hr or $6/day,
147.122798600947476,-41.446391720809359,240,,,,,
147.123652705409967,-41.446314169839781,241,,,,,
147.123062521196402,-41.446167132005208,242,,,,,
147.139335116872445,-41.429398417044496,243,,Mach I1,tm,$1/hr or $3/day,
147.142218333847154,-41.431089800116389,244,,Mach13,tm,$1/hr or $4 All day,
147.14713588322698,-41.435746916495781,245,,TM-5,tm,"$1/90min or $2/3hrs; Max 3hrs",
147.147119599319893,-41.436084482916755,246,,TM-6,tm,"$1/90min or $2/3hrs; Max 3hrs",
147.146268249722937,-41.435580133343088,247,,TM-4,tm,"$1/90min; 90min max",
147.146057833641294,-41.435415633400368,248,,TM-3,tm,"$1/90min; 90min max",
147.147060299873374,-41.435220566764229,249,,TM-1,tm,"$1/90min; 90min max",
147.147057684335266,-41.434782964058407,250,,TM-2,tm,"$1/90min; 90min max",
147.138191850722251,-41.440101100511711,251,,Mach04,dig,70c/hr or $4/day,
147.140515599417228,-41.42707644942837,252,,MachI6,tm,$1/hr or $2/day,
147.133679517051661,-41.44062933366866,253,,Mach07,dig,70c/hr or $4/day,
147.134359816365389,-41.44028553274304,254,,Mach06,dig,70c/hr or $4/day,
147.134308511337338,-41.441279107885926,255,,Mach08,dig,70c/hr or $4/day,
147.131970316195776,-41.439009433078532,256,,Mach10,dig,"60c/hr; 3hrs Max",
147.133034716129089,-41.434327766725772,257,,Mach15,tm,$1.60/hr or $5/day,
147.138188916262862,-41.440099584013289,258,,Mach05,dig,70c/hr or $4/day,
147.135678616986269,-41.40864649505523,259,,,,,
147.141448851192592,-41.431016258468297,260,1,WS01,dig,Multibay Meter (6),
147.141105342707533,-41.437193544254782,261,1,GE16,dig,Multibay Meter (5),0
147.139923257326217,-41.434665038126646,262,1,CA05,dig,Multibay Meter (3),344891
147.140193173339213,-41.439152384668297,263,1,SJ12,dig,Multibay Meter (3),
147.139771830491753,-41.440948961293032,264,1,CH28,dig,1P metered 11am-5:30pm Mon-Fri,
147.127973216662525,-41.440706171611076,265,,,tm,Penny Royal Hotel,
147.128006912820894,-41.440837535056893,266,,,tm,Penny Royal Hotel,
147.128480594464179,-41.440821630030406,267,,,tm,Penny Royal Hotel,
147.127995322032888,-41.440909700635011,268,,,tm,Penny Royal Hotel,
147.137227372260952,-41.440021101509522,269,1,YK112,mec,,370024
