objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
2063,,Multibay Metered,180,2008-04-22T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",YK21,3,,Active,13.2756025003922,0
2064,,Multibay Metered,180,2008-04-22T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",YK21,1,,Active,14.6222549971159,0
2065,,Multibay Metered,180,2010-09-14T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",BR14,2,302,Active,13.0500494997503,0
2066,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.6361960017243,0
2067,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.636195998549,0
2068,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.636195998549,0
2069,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.6361960016102,0
2070,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.636195998549,0
2071,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.6361960039153,0
2072,,Unrestricted,,2005-09-04T00:00:00.000Z,Parking,,,,Active,13.6361959986631,0
2073,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,13.0348310021989,0
2074,,Multibay Metered,180,2009-04-22T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",CI13,4,,Active,13.3288550012787,0
2075,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,14.5765605004659,0
2076,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.8587079994884,0
2077,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,13.0384955007487,0
2078,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.8153124998128,0
2079,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.6884090004023,0
2080,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.9602865008935,0
2081,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7707719996868,0
2082,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7401924998564,0
2083,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,13.0619270019304,0
2084,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.8841269988812,0
2085,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,13.0421970013102,0
2086,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.833523000808,0
2087,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,13.0141465017342,0
2088,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.9381150018156,0
2089,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.8373134989093,0
2090,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.5797850015528,0
2091,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7274234982133,0
2092,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7545349986373,0
2093,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.622095498774,0
2094,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.9119834975536,0
2095,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7424775029906,0
2096,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7517879984041,0
2097,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.9367299986118,0
2098,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.7854360013346,0
