objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
1,1 St John St,Multibay Metered,180,2014-02-18T00:00:00.000Z,,,,822,active,12.2349909319754,0
2,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470887315,0
3,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470857103,0
4,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470857485,0
5,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.488113797767,0
6,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,12.3555641770854,0
7,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.955584887882,0
8,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,15.0955207410274,0
9,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.429027388937,0
10,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,11.8125236082198,0
11,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ04,3,,Active,14.4087699999367,0
12,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,1,,Active,15.9527399985294,0
13,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,2,,Active,14.9622834975854,0
14,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,4,,Active,15.2899249980988,0
15,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,5,,Active,14.1884649995657,0
16,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,2,,Active,14.1897265001101,0
17,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,3,,Active,14.4096869981065,0
18,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,4,,Active,12.2088669983825,0
19,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,5,,Active,12.538502000226,0
20,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,6,,Active,13.4194990008071,0
21,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,7,,Active,14.299213000441,0
22,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,8,,Active,13.199054999523,0
23,,Loading Zone,,2008-04-08T00:00:00.000Z,Loading Zone 8:00am-5:30pm Mon-Fri 8:00am-11:30pm Sat,,,,Active,32.8035793775778,0
24,,Signed,15,2008-04-08T00:00:00.000Z,1/4P Daily,,,,Active,14.7532515000824,0
25,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI07,1,,Active,14.1881519996414,0
26,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI07,3,,Active,14.4347350034373,0
27,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI07,4,,Active,14.1907589999224,0
28,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE02,1,,Active,14.7112320007732,0
29,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE02,2,,Active,14.6702849995067,0
30,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE02,3,,Active,14.8042219996504,0
31,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE02,4,,Active,14.7839030005666,0
32,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE02,5,,Active,14.7163260007309,0
33,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE04,3,,Active,11.4405695001802,0
34,,Multibay Metered,60,2012-11-08T00:00:00.000Z,"1P Meter 9am-5:50pm Mon-Fri; 9am-4pm Sat",,,614,Active,16.0964059977978,0
35,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ02,3,,Active,11.7672429995516,0
36,,Multibay Metered,180,2008-04-08T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,WI06,1,,Active,14.409687003062,0
37,,Multibay Metered,180,2008-04-08T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,WI06,2,,Active,14.1915135008566,0
38,,Multibay Metered,180,2008-04-08T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,WI06,3,,Active,14.2992129995078,0
39,,Multibay Metered,180,2008-04-08T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,WI06,4,,Active,14.0820099973402,0
40,,Multibay Metered,180,2008-04-08T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,WI06,5,,Active,14.0802224970475,0
41,,Unrestricted,,2008-04-04T00:00:00.000Z,Free Park (No Signs),,,,Active,13.2459394991122,0
42,,Signed,30,2008-04-04T00:00:00.000Z,1/2P 8:00am-6:00pm Mon-Fri,,,,Active,108.967442804234,0
43,,Signed,15,2008-04-04T00:00:00.000Z,1/4P 9:00am-5.30pm Mon-Fri 9:00am-11:30am Sat,,,,Active,16.0806204978816,0
44,,Multibay Metered,60,2008-06-19T00:00:00.000Z,1P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,WI01,2,,Active,11.1279336657715,0
45,,Multibay Metered,60,2008-06-19T00:00:00.000Z,1P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,WI01,3,,Active,14.1613624994911,0
46,,Signed,30,2008-06-19T00:00:00.000Z,"1/2P, 8am-5:30pm, Monday to Saturday",,,,Active,14.9037750013013,0
47,,Multibay Metered,60,2012-11-08T00:00:00.000Z,"1P 8:00am-6:00pm Mon-Fri; 8:00am-12:00pm Sat",,,614,Active,13.0914339988179,0
48,,Multibay Metered,60,2012-11-08T00:00:00.000Z,"1P 8:00am-6:00pm Mon-Fri; 8:00am-12:00pm Sat",STJO021,,614,Active,14.521365999191,0
49,,Multibay Metered,180,2008-04-22T00:00:00.000Z,3P Meter 9am-5:30pm Mon-Fri 9-11am Sat,EZ16,3,,Active,15.0395055366128,0
56,,Multibay Metered,180,2012-06-25T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH02,1,557,Active,12.7599140015448,0
57,,Multibay Metered,180,2012-06-25T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH02,2,557,Active,13.0894870027906,0
58,,Multibay Metered,180,2012-06-25T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH02,3,557,Active,11.9883815007309,0
59,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,EZ12,3,,Active,14.3640669993449,0
60,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,EZ12,1,,Active,12.1013034985577,0
61,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,EZ12,2,,Active,14.3406994980798,0
62,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,EZ12,4,,Active,14.1469269966764,0
63,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH05,3,557,Active,15.1802339987747,0
64,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH05,4,557,Active,15.1802339987747,0
65,,Multibay Metered,180,2012-06-25T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH02,4,557,Active,13.269799000716,0
66,,Signed,120,2005-09-04T00:00:00.000Z,2P 9am-5pm Permit Holders Excepted Area I,,,,Active,10.8841144986033,0
67,,Signed,120,2005-09-04T00:00:00.000Z,2P 9am-5pm Permit Holders Excepted Area I,,,,Active,10.8841145018848,0
68,,Signed,30,2008-04-08T00:00:00.000Z,1/2P 9:00am-5:00pm Mon-Fri,,,,Active,59.512848742252,0
69,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH02,4,,Active,13.6600240009569,0
70,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH02,3,,Active,13.3124040000556,0
71,,Signed,15,2012-11-08T00:00:00.000Z,1/4P Daily,,,614,Active,15.4087249969538,0
72,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI07,5,,Active,14.0802784980829,0
73,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8930045007498,0
74,,Signed,15,2012-11-08T00:00:00.000Z,1/4P Daily,,,614,Active,14.0081770018275,0
75,,Signed,15,2012-11-08T00:00:00.000Z,1/4P Daily,,,614,Active,13.7993469997114,0
76,,Taxi Zone,,2013-11-15T00:00:00.000Z,Taxi Zone 6pm-8am,,,763,Active,14.4601840008985,0
77,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE04,1,,Active,14.6936920005333,0
78,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P Meter 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat,GE03,2,,Active,14.7514099998075,0
79,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P Meter 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat,GE03,1,,Active,13.2028255000853,0
80,,Taxi Zone,,2013-11-15T00:00:00.000Z,Taxi Zone 6pm-8am,,,763,Active,14.39907199896,0
81,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9526574985787,0
82,,Loading Zone,,2008-04-14T00:00:00.000Z,"Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat; No Parking all other times",,,,Active,21.5523329979001,0
83,,Multibay Metered,180,2008-05-27T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",FR18,1,,Active,13.6791055017147,0
84,,Multibay Metered,180,2008-05-27T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",FR18,2,,Active,13.9935859977558,0
85,,Multibay Metered,180,2008-05-27T00:00:00.000Z,"3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat",FR18,3,,Active,11.6535569983074,0
86,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,14.0803830008562,0
87,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8261525014018,0
88,,Signed,15,2008-04-14T00:00:00.000Z,1/4P,,,,Active,12.6847609992586,0
89,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,CI12,6,,Active,13.5443684987224,0
90,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,CI12,5,,Active,15.0518389997973,0
91,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9078929988627,0
92,,No Parking,,2013-08-23T00:00:00.000Z,No Parking 9:00am-5:00pm Mon-Fri,,,730,Active,58.1864904563772,0
93,,Loading Zone,,2008-04-14T00:00:00.000Z,Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat,,,,Active,24.7683405006245,0
94,,Multibay Metered,180,2010-01-13T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,TA01,1,,Active,11.3935020039644,0
95,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9141594989813,0
96,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9348129990665,0
97,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.7978840014474,0
98,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8754550012165,0
99,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,14.0472545003754,0
100,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8647719999322,0
101,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,14.0295090001408,0
102,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8822390011987,0
103,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9042064986819,0
104,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8801605024494,0
105,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,14.0238294993103,0
106,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8273919967562,0
107,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.7401209994543,0
108,,Permit,60,2009-07-23T00:00:00.000Z,"1P, 9am-5pm, Mon-Fri, Resident Permit Area",,,,Active,14.300390500847,0
109,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.115500000258,0
110,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,14.2882219999945,0
111,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.105049999995,0
112,,Permit,60,2009-07-23T00:00:00.000Z,"1P, 9am-5pm, Mon-Fri, Resident Permit Area",,,,Active,14.3060235019751,0
114,,Signed,60,2010-06-22T00:00:00.000Z,end_bay (5.5m),,,279,Active,12.0926040001347,0
115,,Permit,,2010-03-19T00:00:00.000Z,Permit Zone,,,235,Active,55.727803002531,0
116,,Permit,60,2009-07-23T00:00:00.000Z,"1P, 9am-5pm, Mon-Fri, Resident Permit Area",,,,Active,14.2983835004899,0
118,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,11.5473729996366,0
119,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,14.2894019999399,0
120,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,14.300390500847,0
121,,Permit,60,2009-07-23T00:00:00.000Z,"1P, 9am-5pm, Mon-Fri, Resident Permit Area",,,,Active,14.298619504293,0
122,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.1022039984594,0
123,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.1085120021599,0
124,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,11.5473730012143,0
125,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.1022039995789,0
126,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,13.0011580001924,0
127,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,13.0011580001924,0
128,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,14.2970880012354,0
129,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,11.0045420004878,0
130,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,13.6440519985828,0
131,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,11.5498510000815,0
132,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,13.0011580001924,0
133,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,13.6482140014657,0
134,,Signed,15,2010-05-19T00:00:00.000Z,1/4P 8-6 Mon-Fri 8-12 Sat,,,263,Active,11.5540190014787,0
135,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,12.1132389979694,0
136,,Permit,60,2009-07-23T00:00:00.000Z,"1P 9am-5pm, Mon-Fri; Resident Permit Area",,,,Active,14.3006300019807,0
137,,Motorbike,,2009-12-14T00:00:00.000Z,Motorbike Parking,,,207,Active,3.00165599995335,0
138,,Motorbike,,2009-12-14T00:00:00.000Z,Motorbike Parking,,,207,Active,3.00165600064393,0
139,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,13.0011579972159,0
140,,Motorbike,,2009-12-14T00:00:00.000Z,Motorbike Parking,,,206,Active,3.00442500023572,0
141,,Motorbike,,2009-12-14T00:00:00.000Z,Motorbike Parking,,,206,Active,3.0044250005668,0
142,,Motorbike,,2009-12-14T00:00:00.000Z,Motorbike Parking,,,206,Active,3.00442500023572,0
143,,Unrestricted,,2010-04-21T00:00:00.000Z,,,,247,Active,13.0011580020448,0
144,,Signed,60,2009-07-01T00:00:00.000Z,end_bay (5.5m),,,,Active,12.1063365021951,0
145,,Signed,60,2010-06-22T00:00:00.000Z,end_bay (5.5m),,,279,Active,12.1035019995974,0
146,,Signed,30,2010-06-03T00:00:00.000Z,1/2P 8am-6pm Mon-Fri,,,244,Active,11.5528094995017,0
147,,Signed,30,2010-06-03T00:00:00.000Z,1/2P 8am-6pm Mon-Fri,,,244,Active,11.5528094995017,0
148,,Signed,60,2010-06-22T00:00:00.000Z,end_bay (5.5m),,,279,Active,12.0999990001347,0
149,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,6,557,Active,15.1802340017987,0
150,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,2,557,Active,15.180233997049,0
151,,Multibay Metered,180,2012-06-25T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH02,5,557,Active,13.5264705031401,0
152,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH05,1,557,Active,15.1802339968245,0
153,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH05,2,557,Active,15.180234004345,0
154,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,5,557,Active,15.1802339968245,0
155,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,4,557,Active,15.1802340017987,0
156,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,3,557,Active,15.1802340020232,0
157,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH03,1,557,Active,15.1802340017987,0
158,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,GE04,4,,Active,11.4405695001802,0
159,,Multibay Metered,60,2008-04-14T00:00:00.000Z,1P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,GE10,1,,Active,12.8107919993255,0
160,,Signed,15,2008-04-08T00:00:00.000Z,1/4P Travel Centre Visitor Parking only,,,,Active,12.9054660041165,0
161,,Signed,15,2008-04-08T00:00:00.000Z,1/4P Travel Centre Visitor Parking only,STJO040,,,Active,14.6759805021971,0
162,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,5,557,Active,15.1802339987747,0
163,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,4,557,Active,15.1802339987747,0
164,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,3,557,Active,15.1802340017987,0
165,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,1,557,Active,15.1802339987747,0
166,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,2,557,Active,15.1802339987747,0
167,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,7,557,Active,15.180234001321,0
168,,Multibay Metered,540,2012-07-10T00:00:00.000Z,9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat,SH01,6,557,Active,15.1802339987747,0
169,,Multibay Metered,60,2008-04-14T00:00:00.000Z,1P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat,GE10,2,,Active,13.0189569998583,0
170,,Loading Zone,,2008-04-21T00:00:00.000Z,Loading Zone Permit Vehicles 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat,,,,Active,26.7778029953282,0
171,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,2,,Active,14.0829050007861,0
172,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,3,,Active,13.9741060018145,0
173,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,4,,Active,14.0810340004791,0
174,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,5,,Active,14.082905000998,0
175,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,6,,Active,13.9774639998569,0
176,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR12,7,,Active,13.5502530036601,0
177,,Multibay Metered,60,2008-04-18T00:00:00.000Z,,YK11,1,,Active,13.7597900012764,0
178,,Multibay Metered,60,2008-04-18T00:00:00.000Z,,YK11,2,,Active,14.8344799993131,0
179,,Multibay Metered,540,2009-10-29T00:00:00.000Z,,FR10,7,,Active,14.1872720017595,0
180,,Loading Zone,,2008-04-18T00:00:00.000Z,"Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat; No Parking all other times",,,,Active,14.6248600018819,0
181,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA21,2,,Active,14.1060810007185,0
182,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA21,1,,Active,14.1696389984903,0
183,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA21,3,,Active,12.9956540011928,0
184,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA21,4,,Active,13.7324004993033,0
185,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA21,5,,Active,14.4060030047666,0
186,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA19,1,,Active,14.6618020006108,0
187,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA19,2,,Active,13.9517179978223,0
188,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA19,5,,Active,12.6636959997588,0
189,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA17,1,,Active,13.9970740011502,0
190,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA17,2,,Active,16.233116000378,0
191,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA20,2,,Active,12.1667690006102,0
192,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA20,1,,Active,12.1667690000868,0
193,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA20,3,,Active,12.9002295014024,0
194,,Signed,30,2008-04-21T00:00:00.000Z,1/2P 8:00am-6:00pm Mon-Fri,,,,Active,11.8231490009201,0
195,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA22,1,,Active,13.714478997961,0
196,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA22,2,,Active,11.9090539984102,0
197,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA22,3,,Active,11.0948775009782,0
198,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CA22,4,,Active,14.571551502944,0
199,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,3,,Active,15.4375949959184,0
200,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,4,,Active,11.1804480002195,0
201,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,2,,Active,15.0924234995074,0
202,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,1,,Active,14.2166630010392,0
203,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH03,5,,Active,12.9158910003987,0
204,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH03,4,,Active,14.6724689984355,0
205,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH03,3,,Active,14.7811499986126,0
206,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH03,2,,Active,14.7384509973404,0
207,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH03,1,,Active,13.8832009982489,0
208,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH02,1,,Active,17.4951589991199,0
209,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH02,2,,Active,15.6208319988539,0
210,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,14.4052190027102,0
211,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.6411280019982,0
212,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,14.8828515005138,0
213,,Multibay Metered,180,2010-01-13T00:00:00.000Z,,CI11,,,Active,15.067897503349,0
214,,Loading Zone,,2008-04-18T00:00:00.000Z,Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat,,,,Active,31.0260565003869,0
215,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9854684999091,0
216,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.8635004980202,0
217,,Metered,180,2012-12-04T00:00:00.000Z,"3 Hours, 9am-5pm, Daily",,,621,Active,13.9601920000047,0
218,,Multibay Metered,60,2008-04-18T00:00:00.000Z,Taxi Zone 10:00pm-6:00am Daily,AV05,1,,Active,13.8361779997743,0
219,,No Parking,,2008-04-08T00:00:00.000Z,"No Parking; Truck Filling Station Excepted",,,,Active,38.4919249983735,0
220,248,Unrestricted,,2008-04-08T00:00:00.000Z,Parking,,,,Active,12.5352048753683,0
